OBJECTID,STUSAB,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,PCT_SHARE,SUMLEV,SHAPE_Length,SHAPE_Area
1,MA,MA078,WEST SPRINGFIELD HOUSING AUTHORITY,0.9954955,050,2.98408977464952,0.178869085855873
2,MA,MA035,SPRINGFIELD HOUSING AUTHORITY,0.9881475,160,0.436906766587366,0.00932400829754087
3,PR,RQ047,MUNICIPALITY OF NAGUABO,0.95495498,050,0.629714825411358,0.011446233018283
4,PR,RQ064,MUNICIPALITY OF NARANJITO,0.97247708,050,0.404801508113546,0.00614124849626522
5,PR,RQ080,MUNICIPALITY OF OROCOVIS,1,050,0.74338970373706,0.0141070578250285
6,PR,RQ057,MUNICIPALITY OF PATILLAS,1,050,0.621775174579067,0.0104140911656165
7,PR,RQ007,MUNICIPALITY OF CAGUAS,0.99762845,050,0.629152314598671,0.0130694764049291
8,PR,RQ075,MUNICIPALITY OF CANOVANAS,0.97222221,050,0.612165435144956,0.00730539193520569
9,PR,RQ008,MUNICIPALITY OF PONCE,0.93423873,050,0.940338391132519,0.0258181373517586
10,PR,RQ070,MUNICIPALITY OF CEIBA,0.97368419,050,0.798394843464997,0.00636615506056671
11,PR,RQ033,MUNICIPALITY OF UTUADO,0.99476439,050,1.08896937858737,0.0254632494439406
12,PR,RQ059,MUNICIPALITY OF AIBONITO,0.93548387,050,0.410263581135207,0.00692754268993392
13,PR,RQ068,MUNICIPALITY OF ARROYO,0.95588237,050,0.277120461819333,0.00331042876789141
14,PR,RQ013,MUNICIPALITY OF TRUJILLO ALTO,0.93979055,050,0.374180425303942,0.00473375879995991
15,PR,RQ014,MUNICIPALITY OF CAROLINA,0.97527045,050,0.711182546022759,0.0105610268964271
16,MA,MA085,AMHERST HOUSING AUTHORITY,0.80098277,050,2.98780269767127,0.154264026712683
17,MA,MA008,CHICOPEE HOUSING AUTHORITY,0.88837206,160,0.366420747118984,0.00673427692256264
18,PR,RQ055,MUNICIPALITY OF ADJUNTAS,1,050,0.639825048661448,0.0148395264606639
19,PR,RQ073,MUNICIPALITY OF AGUADA,0.97637796,050,0.443426513022298,0.00683187133372287
20,PR,RQ012,MUNICIPALITY OF AGUADILLA,0.96566522,050,0.445170881026748,0.0080804836473637
21,PR,RQ029,MUNICIPALITY OF MARICAO,0.91666669,050,0.576476443098103,0.0080994558646672
22,PR,RQ043,ANASCO HOUSING AUTHORITY,0.87378639,050,0.552827404855961,0.00876044914973711
23,PR,RQ020,MUNICIPALITY OF ARECIBO,0.90107268,050,0.824824125350484,0.0280347992537196
24,PR,RQ054,MUNICIPALITY  OF  BARCELONETA,0.99173552,050,0.436243143777572,0.00414420862133635
25,PR,RQ061,MUNICIPALITY OF CABO ROJO,1,050,1.01860844170923,0.0159373985243549
