X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,DEVELOPMENT_CODE,PROJECT_NAME,BUILDING_NAME,BUILDING_NUMBER,BUILDING_TYPE_CODE,BUILDING_STATUS_TYPE_CODE,NATIONAL_BLDG_ID,CONSTRUCT_DATE,DOFA_ACTUAL_DT,TOTAL_DWELLING_UNITS,ACC_UNITS,TOTAL_OCCUPIED,REGULAR_VACANT,TOTAL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJOR,PCT_WELFARE_MAJOR,PCT_OTHER_MAJOR,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,TPCT_OWNSFD,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,RAD_CHAP_INDR,RAD_TYPE,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,PHA_TOTAL_UNITS,DEV_BUIL_NU_ENTRANCE,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL
-80.303514,25.89231,1,FL066,HIALEAH HOUSING AUTHORITY,FL066000030,HOFFMAN GARDENS,HOFFMAN GARDENS,416,RW,INAPCP,5494500000,1970/10/31 00:00:00+00,1971/10/31 00:00:00+00,12,12,12,0,12,100,12,100,4,0,2.3,27,463,334,377,19076,8478,0,41.66999817,16.67000008,0,41.66999817,41.66999817,0,58.33000183,32.27999878,91.66999817,75,0,25,75,25,14.28999996,20,18.52000046,0,25,33.33000183,41.66999817,0,100,8.32999992,0,0,91.66999817,0,193,100,134,16.67000008,33.33000183,50,33.33000183,95.94000244,20.06999969,17.40999985,4,22.21999931,14.81000042,100,14946,12,Miami-Dade,86,9307,2,2003,N,Y,Miami-Dade,86,91482,Hialeah,30000,Hialeah city (part),C1,,5000,"Miami, FL PMSA",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",99999,,1,0,1225,1236,S,,980 W 77th St,,Hialeah,FL,33014,4078,,33014,99,2,33014407899,H,,,,1,,,A,,90% Overall probable correctness,25.89231,-80.303514,S,,R,U,** Street-Level Rooftop **,12086,1230000,12086009307,1.2086E+11,N, ,2021/04/04 22:18:23+00,48148,54351,1117,FL0660000304161,3058889744,3058878738,jponce@hialeahhousing.org,7862573514,,jponce@hialeahhousing.org
-80.070472,26.535373,2,FL080,PALM BEACH COUNTY HOUSING AUTHORITY,FL080000002,SEMINOLE ESTATE APT. & SCHALL (2 SITES),,115,SF,INAPCP,1346500000,1967/03/01 00:00:00+00,1990/09/30 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Palm Beach,99,6100,2,2002,N,N,Palm Beach,99,90260,Boynton Beach-Delray Beach,7875,Boynton Beach city,C1,,8960,"West Palm Beach-Boca Raton, FL MSA",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",99999,,1,0,1221,264,S,,521 NW 9th Ave,,Boynton Beach,FL,33435,3032,,33435,21,1,33435303221,S,,,,1,,,A,,90% Overall probable correctness,26.535373,-80.070472,S,,R,U,** Street-Level Rooftop **,12099,1207875,12099006100,1.2099E+11,N, ,2021/04/04 22:18:23+00,-4,-4,428,FL0800000021151,5616842160,5616840183,cjones-gilbert@pbchafl.org,5616842160,,cjones-gilbert@pbchafl.org
-82.316407,29.634312,3,FL063,Gainesville Housing Authority,FL063000001,"Woodland Park, Eastwood Meadows",WOODLAND PARK,631206,SD,INAPCP,7364500000,1970/01/31 00:00:00+00,1970/01/31 00:00:00+00,2,2,2,0,2,100,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Alachua,1,700,2,2073,N,N,Alachua,1,91248,Gainesville,25175,Gainesville city (part),C1,,2900,"Gainesville, FL MSA",23540,"Gainesville, FL Metropolitan Statistical Area",99999,,1,0,1203,1038,Y,,1900 SE 4th St Apt 111,,Gainesville,FL,32641,8767,,32641,36,7,32641876736,H,111,Apt,,2,,,,,80% Overall probable correctness,29.634312,-82.316407,S,,R,U,** Street-Level Rooftop **,12001,1225175,12001000700,1.2001E+11,N, ,2021/04/04 22:18:23+00,-4,-4,568,FL06300000163120601,3528725502,3528728801,pamelad@gnvha.org,3528725502,3528725519,pamelad@gnvha.org
-80.0855,26.363338,4,FL119,HA BOCA RATON,FL119000001,DIXIE MANOR,DIXIE MANOR,67,RW,INAPCP,9486500000,1984/01/01 00:00:00+00,1984/11/30 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Palm Beach,99,7501,2,2022,N,Y,Palm Beach,99,90208,Boca Raton,7300,Boca Raton city (part),C1,,8960,"West Palm Beach-Boca Raton, FL MSA",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",99999,,1,0,1222,234,D,,1350 N Dixie Hwy,,Boca Raton,FL,33432,1849,,33432,99,5,33432184999,H,1SUD,,,2,,,N,,80% Overall probable correctness,26.363338,-80.0855,S,,R,U,** Street-Level Rooftop **,12099,1207300,12099007501,1.2099E+11,N, ,2021/04/04 22:18:23+00,-4,-4,95,FL119000001671,5612066200,5612066215,jscannell@bocahousing.org,5612066200,,JScannell@bocahousing.org
-80.114534,26.711609,5,FL080,PALM BEACH COUNTY HOUSING AUTHORITY,FL080000002,SEMINOLE ESTATE APT. & SCHALL (2 SITES),,62,RW,INAPCP,6036500000,1982/09/08 00:00:00+00,1984/01/31 00:00:00+00,4,4,4,0,4,100,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Palm Beach,99,1909,1,1009,N,N,Palm Beach,99,93614,West Palm Beach,64547,Schall Circle CDP,U1,,8960,"West Palm Beach-Boca Raton, FL MSA",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",99999,,1,0,1218,,S,,2394 Schall Cir,,West Palm Beach,FL,33417,3064,,33417,94,6,33417306494,S,,,,2,,N,A,,80% Overall probable correctness,26.711609,-80.114534,S,,R,U,** Street-Level Rooftop **,12099,1264547,12099001909,1.2099E+11,N, ,2021/04/04 22:18:23+00,-4,-4,428,FL080000002621,5616842160,5616840183,cjones-gilbert@pbchafl.org,5616842160,,cjones-gilbert@pbchafl.org
-84.267489,30.412924,6,FL073,Tallahassee Housing Authority,FL073000002,ORANGE AVE APTS,ORANGE AVE COMPLEX,732014,SD,DDDRFT,8255500000,1970/12/01 00:00:00+00,1972/09/30 00:00:00+00,2,2,2,0,2,100,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Leon,73,1001,2,2002,N,N,Leon,73,93295,Tallahassee Central,70600,Tallahassee city (part),C1,,8240,"Tallahassee, FL MSA",45220,"Tallahassee, FL Metropolitan Statistical Area",99999,,1,0,1205,3000,Y,,910 Sebring Ct Apt 31,,Tallahassee,FL,32301,6570,,32301,31,9,32301657031,H,31,Apt,,2,,,,,80% Overall probable correctness,30.412924,-84.267489,S,,R,U,** Street-Level Rooftop **,12073,1270600,12073001001,1.2073E+11,N, ,2021/04/04 22:18:23+00,-4,-4,537,FL0730000027320141,8503856126,8503865534,brenda@tallha.org,8502051674,8503865534,brenda@tallha.org
-84.222757,30.503699,7,FL073,Tallahassee Housing Authority,FL073000003,Pinewood Place,,716017,SF,DDAPRD,175500000,1996/04/30 00:00:00+00,1996/04/30 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Leon,73,2410,3,3013,N,N,Leon,73,92384,Northeast Leon,70600,Tallahassee city (part),C1,,8240,"Tallahassee, FL MSA",45220,"Tallahassee, FL Metropolitan Statistical Area",99999,,1,0,1202,3000,S,,3248 Arbor Hill Way,,Tallahassee,FL,32309,3633,,32309,48,6,32309363348,S,,,,1,,,A,,90% Overall probable correctness,30.503699,-84.222757,S,,R,U,** Street-Level Rooftop **,12073,1270600,12073002410,1.2073E+11,N, ,2021/04/04 22:18:23+00,-4,-4,537,FL0730000037160171,8503856126,8503865534,brenda@tallha.org,8502051674,8503865534,brenda@tallha.org
-80.661125,26.811446,8,FL021,PAHOKEE HOUSING AUTHORITY,FL021000002,PADGETT ISLAND HOMES,PADGETT 737/743,6,RW,INAPCP,471500000,1970/05/01 00:00:00+00,1970/06/30 00:00:00+00,4,4,4,0,4,100,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Palm Beach,99,8002,1,1007,N,N,Palm Beach,99,90143,Belle Glade-Pahokee,99999,Remainder of Belle Glade-Pahokee CCD,99,,8960,"West Palm Beach-Boca Raton, FL MSA",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",99999,,1,0,1220,,S,,737 Padgett Cir,,Pahokee,FL,33476,2038,,33476,37,4,33476203837,S,,,,1,,,A,,90% Overall probable correctness,26.811446,-80.661125,S,,R,U,** Street-Level Rooftop **,12099,1299999,12099008002,1.2099E+11,N, ,2021/04/04 22:18:23+00,-4,-4,474,FL021000002006001,5619245565,5619241952,IHARVEY@PAHOKEEHOUSING.ORG,5619245565,5619241952,IHARVEY@PAHOKEEHOUSING.ORG
-82.486148,29.795887,9,FL070,Alachua County,FL070000001,SCATTERED SITES 001,,15318,SF,INAPCP,6715500000,1971/10/31 00:00:00+00,1971/10/31 00:00:00+00,1,1,1,0,1,100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Alachua,1,1802,1,1026,N,N,Alachua,1,91495,High Springs-Alachua,375,Alachua city,C1,,2900,"Gainesville, FL MSA",23540,"Gainesville, FL Metropolitan Statistical Area",99999,,1,0,1203,6,S,,15318 Merrillwood Dr,,Alachua,FL,32615,8249,,32616,18,1,32615824918,S,,,,1,,,A,,90% Overall probable correctness,29.795887,-82.486148,S,,R,U,** Street-Level Rooftop **,12001,1200375,12001001802,1.2001E+11,N, ,2021/04/04 22:18:23+00,-4,-4,274,FL070000001153181,3523722549,3523734097,Ken@acha-fl.com,3523722549,3523734097,Ken@acha-fl.com
-85.535612,30.78735,10,FL038,Chipley Housing Authority,FL038000010,LACEY MCDUFFIE HOMES,BUILDING 033 / ENTRANCE 1,33,SD,INAPCP,2482500000,1961/05/31 00:00:00+00,1961/05/31 00:00:00+00,2,2,2,0,2,100,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,Washington,133,970104,2,2036,N,N,Washington,133,90546,Chipley,11975,Chipley city,C1,,9999,,99999,,99999,,0,0,1202,480,S,,582 Anderson St,,Chipley,FL,32428,1232,,32428,82,3,32428123282,S,,,,1,,,A,,90% Overall probable correctness,30.78735,-85.535612,S,,R,U,** Street-Level Rooftop **,12133,1211975,12133970104,1.2134E+11,N, ,2021/04/04 22:18:23+00,-4,-4,88,FL0380000100331,8506380134,8506389119,h_chiple@bellsouth.net,8506380134,8506389119,h_chiple@bellsouth.net
